condition,depth,n,rwh,descendant_recall,descendant_precision,bsr,rts,false_repair_rate,uer,drr,oh_replays,oh_model_calls,oh_fhir_reads,oh_capsule_bytes,oh_wall_seconds
A,2,6,0.3333,0.0,1.0,1.0,0.75,0.0,0.1667,1.0,0.0,0.0,0.0,0.0,0.0
A,3,12,0.25,0.0,1.0,1.0,0.75,0.0,0.0938,1.0,0.0,0.0,0.0,0.0,0.0
A,4,12,0.25,0.0,1.0,1.0,0.75,0.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0
B,2,6,0.3333,0.0,1.0,1.0,0.75,0.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0
B,3,12,0.25,0.0,1.0,1.0,0.75,0.0,0.0714,1.0,0.0,0.0,0.0,0.0,0.0
B,4,12,0.25,0.0,1.0,1.0,0.75,0.0,0.0833,1.0,0.0,0.0,0.0,0.0,0.0
C,2,6,0.0,1.0,0.3,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
C,3,12,0.0,1.0,0.25,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
C,4,12,0.0,1.0,0.2778,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
D,2,6,0.1111,0.6667,1.0,1.0,0.9167,0.0,0.0333,0.0,1.0,2.0,2.6667,4820.6667,0.0358
D,3,12,0.1389,0.5,1.0,1.0,0.875,0.0,0.0278,0.0,1.0,2.0,3.25,4816.25,0.0365
D,4,12,0.1667,0.3611,0.9583,0.9896,0.8333,0.0,0.0486,0.0,1.0,2.0,3.25,4812.5833,0.0345
E,2,6,0.1111,0.6667,1.0,1.0,0.9167,0.0,0.0333,0.0,2.0,3.6667,4.6667,4820.6667,0.0347
E,3,12,0.1389,0.5,1.0,1.0,0.875,0.0,0.0238,0.0,2.0,3.5833,5.6667,4816.25,0.0381
E,4,12,0.1667,0.3611,0.9583,1.0,0.8333,0.0,0.0463,0.0,2.0,3.4167,5.3333,4812.5833,0.0375
F,2,6,0.0,1.0,0.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14461.1667,0.0817
F,3,12,0.0,1.0,0.3452,0.3333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14451.0833,0.1021
F,4,12,0.0,1.0,0.3444,0.2679,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19235.9167,0.1254
G,2,6,0.0,1.0,0.75,0.875,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
G,3,12,0.0,1.0,0.75,0.8667,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
G,4,12,0.0,1.0,0.75,0.8646,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
H,2,6,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.5,2.5,3.0,0.0,0.0
H,3,12,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.75,2.75,4.5,0.0,0.0
H,4,12,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.5,3.5,5.25,0.0,0.0
I,2,6,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,6.5,11.0,15.0,6026.1667,0.0653
I,3,12,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,6.75,12.0,20.0,6622.1667,0.0797
I,4,12,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,9.5,16.75,26.75,8415.0833,0.0953
