condition,family,n,rwh,descendant_recall,descendant_precision,bsr,rts,false_repair_rate,uer,drr,oh_replays,oh_model_calls,oh_fhir_reads,oh_capsule_bytes,oh_wall_seconds
A,F1,9,0.3333,0.0,1.0,1.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
A,F2,6,0.3333,0.0,1.0,1.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
A,F3,9,0.3333,0.0,1.0,1.0,1.0,0.0,0.3694,1.0,0.0,0.0,0.0,0.0,0.0
A,F4,6,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
B,F1,9,0.3333,0.0,1.0,1.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
B,F2,6,0.3333,0.0,1.0,1.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
B,F3,9,0.3333,0.0,1.0,1.0,1.0,0.0,0.273,1.0,0.0,0.0,0.0,0.0,0.0
B,F4,6,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
C,F1,9,0.0,1.0,0.4243,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
C,F2,6,0.0,1.0,0.1825,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
C,F3,9,0.0,1.0,0.273,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
C,F4,6,0.0,1.0,0.127,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
D,F1,9,0.1481,0.5556,1.0,1.0,0.7778,0.0,0.0,0.0,1.5556,3.1111,4.4444,6156.5556,0.0411
D,F2,6,0.2222,0.3333,1.0,1.0,0.6667,0.0,0.0,0.0,0.5,1.0,1.8333,3607.1667,0.0288
D,F3,9,0.1852,0.5926,1.0,1.0,1.0,0.0,0.1241,0.0,1.1111,2.2222,3.5556,5078.8889,0.0382
D,F4,6,0.0,0.3333,0.9167,0.9792,1.0,0.0,0.0,0.0,0.5,1.0,1.8333,3618.0,0.0301
E,F1,9,0.1481,0.5556,1.0,1.0,0.7778,0.0,0.0,0.0,3.1111,5.2222,6.8889,6156.5556,0.0485
E,F2,6,0.2222,0.3333,1.0,1.0,0.6667,0.0,0.0,0.0,1.0,1.8333,3.3333,3607.1667,0.027
E,F3,9,0.1852,0.5926,1.0,1.0,1.0,0.0,0.1157,0.0,2.2222,4.1111,6.4444,5078.8889,0.0397
E,F4,6,0.0,0.3333,0.9167,1.0,1.0,0.0,0.0,0.0,1.0,1.8333,3.3333,3618.0,0.0265
F,F1,9,0.0,1.0,0.4243,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19258.0,0.1151
F,F2,6,0.0,1.0,0.3667,0.619,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12034.6667,0.093
F,F3,9,0.0,1.0,0.273,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19250.7778,0.1158
F,F4,6,0.0,1.0,0.2667,0.5833,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12037.3333,0.0973
G,F1,9,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
G,F2,6,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
G,F3,9,0.0,1.0,0.6389,0.7944,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
G,F4,6,0.0,1.0,0.2917,0.6458,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
H,F1,9,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,4.0,4.6667,0.0,0.0
H,F2,6,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.5,2.5,4.5,0.0,0.0
H,F3,9,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,3.0,4.6667,0.0,0.0
H,F4,6,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,4.0,0.0,0.0
I,F1,9,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,10.0,17.0,24.0,9629.5556,0.0923
I,F2,6,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,5.5,10.5,18.5,6014.3333,0.0762
I,F3,9,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,9.0,15.0,24.0,7214.3333,0.0911
I,F4,6,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,5.0,10.0,18.0,4820.5,0.0638
