condition,provenance,n,rwh,descendant_recall,descendant_precision,bsr,rts,false_repair_rate,uer,drr,oh_replays,oh_model_calls,oh_fhir_reads,oh_capsule_bytes,oh_wall_seconds
A,complete,10,0.2667,0.0,1.0,1.0,0.75,0.0,0.1108,1.0,0.0,0.0,0.0,0.0,0.0
A,random40,10,0.2667,0.0,1.0,1.0,0.75,0.0,0.1108,1.0,0.0,0.0,0.0,0.0,0.0
A,targeted,10,0.2667,0.0,1.0,1.0,0.75,0.0,0.1108,1.0,0.0,0.0,0.0,0.0,0.0
B,complete,10,0.2667,0.0,1.0,1.0,0.75,0.0,0.0819,1.0,0.0,0.0,0.0,0.0,0.0
B,random40,10,0.2667,0.0,1.0,1.0,0.75,0.0,0.0819,1.0,0.0,0.0,0.0,0.0,0.0
B,targeted,10,0.2667,0.0,1.0,1.0,0.75,0.0,0.0819,1.0,0.0,0.0,0.0,0.0,0.0
C,complete,10,0.0,1.0,0.2711,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
C,random40,10,0.0,1.0,0.2711,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
C,targeted,10,0.0,1.0,0.2711,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
D,complete,10,0.0,1.0,0.95,0.9875,1.0,0.0,0.0,0.0,2.1,4.2,6.8,7458.1,0.0557
D,random40,10,0.2,0.25,1.0,1.0,0.85,0.0,0.07,0.0,0.6,1.2,1.7,3853.6,0.0273
D,targeted,10,0.2333,0.1833,1.0,1.0,0.75,0.0,0.0417,0.0,0.3,0.6,0.9,3135.3,0.0237
E,complete,10,0.0,1.0,0.95,1.0,1.0,0.0,0.0,0.0,4.2,7.3,11.4,7458.1,0.0637
E,random40,10,0.2,0.25,1.0,1.0,0.85,0.0,0.0676,0.0,1.2,2.1,2.8,3853.6,0.0261
E,targeted,10,0.2333,0.1833,1.0,1.0,0.75,0.0,0.0365,0.0,0.6,1.2,1.8,3135.3,0.0216
F,complete,10,0.0,1.0,0.3359,0.2405,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16367.0,0.1048
F,random40,10,0.0,1.0,0.3359,0.2405,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16364.7,0.107
F,targeted,10,0.0,1.0,0.3359,0.2405,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16369.4,0.1103
G,complete,10,0.0,1.0,0.75,0.8675,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
G,random40,10,0.0,1.0,0.75,0.8675,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
G,targeted,10,0.0,1.0,0.75,0.8675,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
H,complete,10,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,3.0,4.5,0.0,0.0
H,random40,10,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,3.0,4.5,0.0,0.0
H,targeted,10,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,3.0,4.5,0.0,0.0
I,complete,10,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,7.8,13.7,21.7,7217.6,0.0814
I,random40,10,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,7.8,13.7,21.7,7218.2,0.0853
I,targeted,10,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,7.8,13.7,21.7,7224.6,0.0824
